id,post_id,timestamp,reaction_type,count,rn
3459337,1,2025-01-08 12:00:03.781052,⚡,2,1
3459334,1,2025-01-08 12:00:03.779607,❤,13,1
3459338,1,2025-01-08 12:00:03.781535,🏆,2,1
3459335,1,2025-01-08 12:00:03.780077,👍,12,1
3459339,1,2025-01-08 12:00:03.781997,👏,1,1
3459333,1,2025-01-08 12:00:03.779131,🔥,80,1
3459336,1,2025-01-08 12:00:03.780577,ReactionCustomEmoji(document_id=5449656926973469265),6,1
3459332,1,2025-01-08 12:00:03.778688,ReactionPaid(),3,1
3459345,2,2025-01-08 12:00:03.785563,🤩,2,1
3459342,2,2025-01-08 12:00:03.784143,❤,12,1
3459347,2,2025-01-08 12:00:03.786472,❤‍🔥,1,1
3459343,2,2025-01-08 12:00:03.784637,🏆,6,1
3459341,2,2025-01-08 12:00:03.783632,🔥,63,1
3459346,2,2025-01-08 12:00:03.786022,🦄,2,1
3459344,2,2025-01-08 12:00:03.785096,ReactionCustomEmoji(document_id=5460865799478593516),4,1
3459340,2,2025-01-08 12:00:03.783169,ReactionPaid(),6,1
3459358,3,2025-01-08 12:00:03.792933,⚡,1,1
3459352,3,2025-01-08 12:00:03.789874,❤,11,1
3459353,3,2025-01-08 12:00:03.790341,❤‍🔥,5,1
3459355,3,2025-01-08 12:00:03.791264,🏆,4,1
3459350,3,2025-01-08 12:00:03.788860,👍,52,1
3459356,3,2025-01-08 12:00:03.791708,💯,3,1
3459351,3,2025-01-08 12:00:03.789362,🔥,28,1
3459357,3,2025-01-08 12:00:03.792424,🦄,2,1
3459354,3,2025-01-08 12:00:03.790820,🆒,5,1
3459349,3,2025-01-08 12:00:03.788385,ReactionCustomEmoji(document_id=5348397248994617112),65,1
3459348,3,2025-01-08 12:00:03.787879,ReactionPaid(),3,1
3459364,4,2025-01-08 12:00:03.796772,⚡,1,1
3459361,4,2025-01-08 12:00:03.795382,❤,10,1
3459365,4,2025-01-08 12:00:03.797214,🎉,1,1
3459366,4,2025-01-08 12:00:03.797656,🏆,1,1
3459363,4,2025-01-08 12:00:03.796312,👍,3,1
3459360,4,2025-01-08 12:00:03.794930,🔥,38,1
3459367,4,2025-01-08 12:00:03.798091,🆒,1,1
3459362,4,2025-01-08 12:00:03.795861,ReactionCustomEmoji(document_id=5470076726212042350),8,1
3459359,4,2025-01-08 12:00:03.794414,ReactionPaid(),2,1
3459378,5,2025-01-08 12:00:03.804410,🤩,1,1
3459377,5,2025-01-08 12:00:03.803962,⚡,3,1
3459371,5,2025-01-08 12:00:03.801094,❤,16,1
3459379,5,2025-01-08 12:00:03.804879,🏆,1,1
3459375,5,2025-01-08 12:00:03.803044,🐳,4,1
3459369,5,2025-01-08 12:00:03.800024,👍,132,1
3459374,5,2025-01-08 12:00:03.802586,👏,4,1
3459370,5,2025-01-08 12:00:03.800570,🔥,46,1
3459373,5,2025-01-08 12:00:03.802069,🦄,5,1
3459376,5,2025-01-08 12:00:03.803520,🆒,4,1
