channel_name,post_datetime,post_id,current_views,text_len,datetime_format,reaction_type,react_cnt,react_cnt_sum,idx_active
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,ReactionCustomEmoji(document_id=5375452661036358740),5.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,ReactionCustomEmoji(document_id=5963012802833551179),29.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,⚡,9.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,❤‍🔥,111.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,🎉,4.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,🏆,2.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,🐳,12.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,👍,3.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,👏,3.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,🔥,62.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-17 12:17:16,42,3684,3448,2025-01-09 16:00:03,🤩,2.0,242.0,6.57
ANDRON ALEXANYAN,2024-07-23 11:11:50,41,3457,1844,2025-01-09 16:00:03,ReactionCustomEmoji(document_id=5375452661036358740),1.0,47.0,1.36
ANDRON ALEXANYAN,2024-07-23 11:11:50,41,3457,1844,2025-01-09 16:00:03,ReactionCustomEmoji(document_id=5963012802833551179),5.0,47.0,1.36
ANDRON ALEXANYAN,2024-07-23 11:11:50,41,3457,1844,2025-01-09 16:00:03,❤‍🔥,29.0,47.0,1.36
ANDRON ALEXANYAN,2024-07-23 11:11:50,41,3457,1844,2025-01-09 16:00:03,🏆,1.0,47.0,1.36
ANDRON ALEXANYAN,2024-07-23 11:11:50,41,3457,1844,2025-01-09 16:00:03,🐳,1.0,47.0,1.36
ANDRON ALEXANYAN,2024-07-23 11:11:50,41,3457,1844,2025-01-09 16:00:03,👍,7.0,47.0,1.36
ANDRON ALEXANYAN,2024-07-23 11:11:50,41,3457,1844,2025-01-09 16:00:03,👏,1.0,47.0,1.36
ANDRON ALEXANYAN,2024-07-23 11:11:50,41,3457,1844,2025-01-09 16:00:03,💯,1.0,47.0,1.36
ANDRON ALEXANYAN,2024-07-23 11:11:50,41,3457,1844,2025-01-09 16:00:03,🤩,1.0,47.0,1.36
ANDRON ALEXANYAN,2024-07-25 15:44:45,40,3765,3298,2025-01-09 16:00:03,ReactionCustomEmoji(document_id=5375452661036358740),4.0,42.0,1.12
ANDRON ALEXANYAN,2024-07-25 15:44:45,40,3765,3298,2025-01-09 16:00:03,ReactionCustomEmoji(document_id=5963012802833551179),5.0,42.0,1.12
ANDRON ALEXANYAN,2024-07-25 15:44:45,40,3765,3298,2025-01-09 16:00:03,❤‍🔥,16.0,42.0,1.12
ANDRON ALEXANYAN,2024-07-25 15:44:45,40,3765,3298,2025-01-09 16:00:03,🎉,1.0,42.0,1.12
ANDRON ALEXANYAN,2024-07-25 15:44:45,40,3765,3298,2025-01-09 16:00:03,🏆,1.0,42.0,1.12
ANDRON ALEXANYAN,2024-07-25 15:44:45,40,3765,3298,2025-01-09 16:00:03,👍,6.0,42.0,1.12
ANDRON ALEXANYAN,2024-07-25 15:44:45,40,3765,3298,2025-01-09 16:00:03,🔥,8.0,42.0,1.12
ANDRON ALEXANYAN,2024-07-25 15:44:45,40,3765,3298,2025-01-09 16:00:03,🤩,1.0,42.0,1.12
ANDRON ALEXANYAN,2024-07-30 10:44:47,39,3311,1145,2025-01-09 16:00:03,ReactionCustomEmoji(document_id=5375452661036358740),1.0,49.0,1.48
ANDRON ALEXANYAN,2024-07-30 10:44:47,39,3311,1145,2025-01-09 16:00:03,ReactionCustomEmoji(document_id=5963012802833551179),25.0,49.0,1.48
ANDRON ALEXANYAN,2024-07-30 10:44:47,39,3311,1145,2025-01-09 16:00:03,❤,8.0,49.0,1.48
